#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
76        	4         	ok              	7.2210000000e-07	2.0650000000e+02	5.2871141646e+13	2.5327572427e+13	5.1978062350e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77        	4         	ok              	5.9950000000e-07	2.0780000000e+02	4.3608254118e+13	2.0895844184e+13	5.1964139734e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78        	4         	ok              	4.9770000000e-07	2.0900000000e+02	3.5979315241e+13	1.7247955840e+13	5.1940990228e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79        	4         	ok              	4.1320000000e-07	2.1020000000e+02	2.9679451904e+13	1.4237832457e+13	5.1904732927e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
80        	4         	ok              	3.4300000000e-07	2.1130000000e+02	2.4485870877e+13	1.1757389341e+13	5.1856071996e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
81        	4         	ok              	2.8480000000e-07	2.1190000000e+02	2.0254822597e+13	9.7347612613e+12	5.1808151818e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82        	4         	ok              	2.3640000000e-07	2.1180000000e+02	1.6809087299e+13	8.0842138515e+12	5.1772757921e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83        	4         	ok              	1.9630000000e-07	2.1080000000e+02	1.4020218891e+13	6.7447517580e+12	5.1758750684e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84        	4         	ok              	1.6300000000e-07	2.0870000000e+02	1.1762136099e+13	5.6569381742e+12	5.1772570600e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
85        	4         	ok              	1.3530000000e-07	2.0570000000e+02	9.9127713953e+12	4.7640880754e+12	5.1809603673e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86        	4         	ok              	1.1230000000e-07	2.0210000000e+02	8.3823187238e+12	4.0246648400e+12	5.1859629788e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
87        	4         	ok              	9.3260000000e-08	1.9810000000e+02	7.1086317643e+12	3.4097867006e+12	5.1910327371e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88        	4         	ok              	7.7430000000e-08	1.9450000000e+02	6.0149762827e+12	2.8834068811e+12	5.1942512346e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
89        	4         	ok              	6.4280000000e-08	1.9200000000e+02	5.0596959839e+12	2.4248837118e+12	5.1955134031e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90        	4         	ok              	5.3370000000e-08	1.9150000000e+02	4.2112159140e+12	2.0185741225e+12	5.1946676903e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
91        	4         	ok              	4.4310000000e-08	1.9340000000e+02	3.4586676664e+12	1.6594400110e+12	5.1896998266e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
92        	4         	ok              	3.6780000000e-08	1.9730000000e+02	2.8070701463e+12	1.3502087453e+12	5.1766322047e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
93        	4         	ok              	3.0540000000e-08	2.0220000000e+02	2.2670967891e+12	1.0939668410e+12	5.1601326448e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
94        	4         	ok              	2.5350000000e-08	2.0650000000e+02	1.8389981954e+12	8.8914826343e+11	5.1499389703e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
95        	4         	ok              	2.1050000000e-08	2.0960000000e+02	1.5030462448e+12	7.2740636814e+11	5.1450572215e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
96        	4         	ok              	1.7480000000e-08	2.1160000000e+02	1.2357625048e+12	5.9833174026e+11	5.1426614825e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
97        	4         	ok              	1.4510000000e-08	2.1290000000e+02	1.0192647440e+12	4.9363736787e+11	5.1413117720e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
98        	4         	ok              	1.2050000000e-08	2.1350000000e+02	8.4395526177e+11	4.0879487690e+11	5.1405424163e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
99        	4         	ok              	1.0000000000e-08	2.1370000000e+02	6.9965355537e+11	3.3893136039e+11	5.1400371400e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
